ID,Region_of_residence,Age_of_Subject,Time_spent_on_Online_Class,Rating_of_Online_Class_experience,Medium_for_online_class,Time_spent_on_self_study,Time_spent_on_fitness,Time_spent_on_sleep,Time_spent_on_social_media,Prefered_social_media_platform,Time_spent_on_TV,Number_of_meals_per_day,Change_in_your_weight,Health_issue_during_lockdown,Stress_busters,Time_utilized,Do_you_find_yourself_more_connected_with_your_family_close_friends _relatives,What_you_miss_the_most,,,Social_Platform
R398,Delhi-NCR,20,3,Very poor,Laptop/Desktop,4,1,8,2,7,0.5,4,Remain Constant,0,Cooking,1,1,Roaming around freely,,,
R399,Delhi-NCR,19,0.75,Poor,Laptop/Desktop,2,1,6,4,5,0,2,Remain Constant,0,"Netflix, Friends and Books",0,1,"Friends , relatives",,,
R400,Outside Delhi-NCR,20,4,Good,Laptop/Desktop,2,0,11,1,7,0,3,Increased,0,Listening to music,0,1,Travelling,,,
R401,Delhi-NCR,16,2,Excellent,Smartphone,5,1,8,4,7,4,3,Increased,0,Online gaming,1,1,School/college,,,
R402,Delhi-NCR,13,3,Excellent,Smartphone,2,0,8,1,5,0,3,Remain Constant,0,Listening to music,1,1,"Friends , relatives",,,
R403,Delhi-NCR,20,0,Good,Laptop/Desktop,4,1,7,4,5,2,3,Remain Constant,1,Web Series,0,1,Travelling,,,
R404,Outside Delhi-NCR,14,3,Excellent,Smartphone,2,0,10,1,5,1,2,Remain Constant,0,Listening to music,0,1,School/college,,,
R405,Delhi-NCR,17,2,Good,Smartphone,1,1,8,3,3,2,3,Decreased,0,Online gaming,1,1,Travelling,,,
R406,Outside Delhi-NCR,20,1,Very poor,Laptop/Desktop,1,0,12,2,2,1,3,Increased,0,Listening to music,0,1,Eating outside,,,
R407,Delhi-NCR,17,7,Excellent,Smartphone,1,1,4,1,5,0,1,Decreased,0,Cooking,1,1,School/college,,,
R408,Outside Delhi-NCR,13,2,Excellent,Smartphone,1,1,6,2,7,0,1,Decreased,1,Reading books,1,1,School/college,,,
R409,Delhi-NCR,13,1,Good,Smartphone,2,1,8,3,5,0.5,3,Remain Constant,0,Online gaming,1,1,School/college,,,
R410,Outside Delhi-NCR,20,2,Very poor,Laptop/Desktop,4,1,8,2,6,0,3,Remain Constant,0,Meditation,1,1,"Friends , relatives",,,
R411,Outside Delhi-NCR,27,0,Good,Laptop/Desktop,2,0,10,6,7,6,3,Decreased,0,Online gaming,0,1,Colleagues,,,
R412,Delhi-NCR,20,1,Good,Laptop/Desktop,0,1,7,2,6,0,3,Decreased,0,Web Series,1,0,Eating outside,,,
R413,Delhi-NCR,20,5,Very poor,Laptop/Desktop,3,1,7,4,2,0,3,Decreased,0,Listening to music,1,1,Roaming around freely,,,
R414,Delhi-NCR,17,4,Average,Smartphone,1,1,8,5,5,0.3,2,Increased,0,Online gaming,0,1,"Friends , relatives",,,
R415,Delhi-NCR,27,3,Excellent,Laptop/Desktop,2,2,7,1,6,0,3,Decreased,1,Listening to music,1,1,Travelling,,,
R416,Outside Delhi-NCR,14,1,Good,Smartphone,3,1,9,1,0,0,3,Increased,0,Online gaming,1,1,School/college,,,
R417,Delhi-NCR,9,1,Average,Laptop/Desktop,1,0,8,0,5,1,3,Increased,0,Listening to music,0,0,Roaming around freely,,,
R418,Delhi-NCR,14,5,Average,Smartphone,1,1,7,1,7,4.5,2,Decreased,0,Watching web series,0,1,"Friends , relatives",,,
R419,Delhi-NCR,36,2,Excellent,Tablet,3,1,7,5,5,3,3,Increased,0,Online gaming,0,1,"Friends , relatives",,,
R420,Delhi-NCR,8,2,Excellent,Laptop/Desktop,2,1,8,1,7,2,3,Remain Constant,0,Dancing,1,1,Roaming around freely,,,
R421,Delhi-NCR,20,2,Average,Laptop/Desktop,1,1,7,1,7,1,2,Remain Constant,0,Watching web series,1,1,School/college,,,
R422,Outside Delhi-NCR,12,2,Average,Laptop/Desktop,1,1,7,2,6,2,2,Increased,0,Sleeping,1,1,"Friends , relatives",,,
R423,Delhi-NCR,19,8,Excellent,Laptop/Desktop,10,1,6,1,1,0,4,Remain Constant,0,Online gaming,1,1,School/college,,,
R424,Outside Delhi-NCR,24,0,Excellent,Laptop/Desktop,3,1,8,3,6,0,3,Decreased,0,Online gaming,1,0,Travelling,,,
R425,Delhi-NCR,20,2,Average,Laptop/Desktop,2,2,8,3,6,0,3,Remain Constant,0,Watching web series,1,1,Roaming around freely,,,
R426,Delhi-NCR,22,1,Very poor,Smartphone,3,0,7,3,5,2,3,Remain Constant,0,Watching web series,0,1,Roaming around freely,,,
R427,Outside Delhi-NCR,20,3,Very poor,Laptop/Desktop,0,1,9,4,5,4,4,Decreased,0,Sleeping,0,1,"Friends , relatives",,,
R428,Delhi-NCR,12,1,Excellent,Smartphone,3,1,6,1,5,1,1,Remain Constant,0,Cooking,0,1,"Friends , relatives",,,
R429,Outside Delhi-NCR,21,0,Very poor,Laptop/Desktop,1,0,6,6,6,1,3,Remain Constant,1,Scrolling through social media,0,0,School/college,,,
R430,Delhi-NCR,20,2,Average,Laptop/Desktop,3,2,7,3,6,1,2,Decreased,0,Talking to your relatives,1,1,Roaming around freely,,,
R431,Outside Delhi-NCR,32,1,Average,Smartphone,0,0,14,2,3,2,3,Remain Constant,0,Watching web series,0,1,School/college,,,
R432,Outside Delhi-NCR,28,4,Good,Laptop/Desktop,4,1,12,2,5,0,3,Decreased,0,Social Media,1,1,Travelling,,,
R433,Delhi-NCR,21,2,Very poor,Laptop/Desktop,0,1,12,5,6,5,4,Remain Constant,0,Listening to music,0,0,School/college,,,
R434,Outside Delhi-NCR,21,2,Average,Laptop/Desktop,2,1,8,2,7,2,3,Remain Constant,1,Watching web series,1,1,"Friends , relatives",,,
R435,Delhi-NCR,15,5,Average,Laptop/Desktop,3,1,10,3,6,1,4,Remain Constant,0,Listening to music,1,1,All,,,
R436,Outside Delhi-NCR,19,1,Very poor,Laptop/Desktop,0,1,9,8,5,0,3,Remain Constant,0,Online gaming,0,0,"Friends , relatives",,,
R437,Outside Delhi-NCR,19,3,Very poor,Laptop/Desktop,1,0,5,1,5,2,3,Increased,0,Watching web series,0,1,School/college,,,
R438,Outside Delhi-NCR,18,3,Very poor,Smartphone,2,0,8,2,6,0.5,3,Remain Constant,0,Scrolling through social media,0,1,"Friends , relatives",,,
R439,Delhi-NCR,14,7,Very poor,Tablet,3,0,8,0,0,1,2,Decreased,0,Sleeping,0,0,Travelling,,,
R440,Outside Delhi-NCR,18,1,Excellent,Smartphone,2,1,8,1,3,0,2,Remain Constant,0,Online gaming,1,1,"Friends , relatives",,,
R441,Delhi-NCR,50,2,Good,Smartphone,2,0,6,2,5,1,3,Remain Constant,0,Listening to music,1,0,School/college,,,
R442,Outside Delhi-NCR,20,0.7,Very poor,Laptop/Desktop,3.5,0.5,8,3,6,0.6,4,Increased,0,Reading books,1,1,Roaming around freely,,,
R443,Outside Delhi-NCR,16,2,Very poor,Laptop/Desktop,2,1,9,2,6,0.5,2,Remain Constant,1,Listening to music,0,1,Roaming around freely,,,
R444,Delhi-NCR,13,2,Good,Smartphone,1,0,11,2,5,3,2,Increased,1,Social Media,0,0,School/college,,,
R445,Delhi-NCR,20,3,Very poor,Laptop/Desktop,4,1,8,2,2,0,3,Remain Constant,0,Reading books,1,1,Eating outside,,,
R446,Delhi-NCR,21,0,Very poor,Laptop/Desktop,2,1,7,2,7,7,3,Increased,0,Watching web series,0,0,"Friends , relatives",,,
R447,Delhi-NCR,14,3,Excellent,Laptop/Desktop,5,2,10,3,3,3,3,Decreased,0,Listening to music,1,1,"Friends , relatives",,,
R448,Outside Delhi-NCR,20,0,Very poor,Laptop/Desktop,2,0,7,5,6,0,2,Decreased,1,Listening to music,0,1,"Friends , relatives",,,
R449,Delhi-NCR,22,3,Average,Laptop/Desktop,2,0,7,3,5,0,3,Increased,0,Reading books,1,1,Eating outside,,,
R450,Delhi-NCR,13,0.75,Excellent,Smartphone,2,0,7,1,5,0,1,Remain Constant,0,Reading books,1,0,School/college,,,
R451,Delhi-NCR,13,3,Good,Smartphone,3,1,8,1,7,0.5,2,Increased,0,Online gaming,1,1,School/college,,,
R452,Delhi-NCR,16,6,Good,Smartphone,3,1,6,1,5,1,1,Decreased,0,Talking,1,1,Colleagues,,,
R453,Outside Delhi-NCR,35,4,Average,Smartphone,2,1,6,0.5,3,1,2,Remain Constant,0,Online surfing,0,1,Roaming around freely,,,
R454,Outside Delhi-NCR,45,3,Excellent,Laptop/Desktop,4,1,8,2,5,1,3,Increased,0,Meditation,1,1,"Friends , relatives",,,
R455,Delhi-NCR,16,0,Good,Smartphone,0,2,6,1,3,4,2,Remain Constant,0,Online gaming,0,1,Colleagues,,,
R456,Delhi-NCR,20,4,Very poor,Laptop/Desktop,6,0,8,0,5,0,2,Remain Constant,0,Reading books,1,1,School/college,,,
R457,Outside Delhi-NCR,21,0,Poor,Laptop/Desktop,9,0,7,2,6,0,3,Remain Constant,0,Listening to music,1,0,"Friends , relatives",,,
R458,Delhi-NCR,23,6,Average,Laptop/Desktop,4,1,9,1,6,0,4,Remain Constant,0,Listening to music,0,0,"Friends , relatives",,,
R459,Outside Delhi-NCR,21,2,Average,Laptop/Desktop,4,1,8,8,6,1,2,Increased,0,Scrolling through social media,1,1,School/college,,,
R460,Delhi-NCR,20,7,Good,Laptop/Desktop,2,0,8,4,3,3,4,Increased,0,Social Media,0,0,Travelling,,,
R461,Outside Delhi-NCR,19,0,Very poor,Smartphone,5,0.5,7,4,6,0,3,Remain Constant,0,Reading books,1,1,Travelling,,,
R462,Outside Delhi-NCR,18,4,Very poor,Smartphone,2,1,12,2,6,0,3,Remain Constant,0,Listening to music,1,0,"Friends , relatives",,,
R463,Delhi-NCR,30,0,NA,NA,0.5,0,7,1,5,0.5,2,Remain Constant,0,Online gaming,1,1,Travelling,,,
R464,Delhi-NCR,18,2,Good,NA,3,1,7,2,7,1,3,Remain Constant,1,Online gaming,1,1,Travelling,,,
R465,Outside Delhi-NCR,21,2,Average,NA,4,1,10,8,6,1,3,Increased,0,Scrolling through social media,0,1,"Friends , relatives",,,
R466,Outside Delhi-NCR,13,4,Good,NA,2,2,8,2,5,2,2,Decreased,0,Cooking,1,1,School/college,,,
R467,Outside Delhi-NCR,22,1,Average,NA,3,3,8,3,6,3,4,Increased,0,Sleeping,1,1,Roaming around freely,,,
R468,Delhi-NCR,21,1,Very poor,NA,0,0,8,2,6,1,3,Remain Constant,0,Talking to your relatives,1,1,Travelling,,,
R469,Outside Delhi-NCR,21,2,Good,NA,6,0,6.5,0.5,7,0,3,Increased,0,Web Series,1,1,Travelling,,,
R470,Delhi-NCR,21,2,Very poor,NA,1,0,13,6,2,7,2,Decreased,1,Listening to music,0,0,School/college,,,
R471,Outside Delhi-NCR,20,5,Good,Laptop/Desktop,7,0,6,1,1,0,4,Increased,0,Web Series,1,1,Travelling,,,
R472,Delhi-NCR,20,0,Very poor,Laptop/Desktop,10,4,6,2,7,0,7,Decreased,0,Listening to music,1,1,"Friends , relatives",,,
R473,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,5,1,9,2,5,0,4,Increased,0,Listening to music,0,1,Eating outside,,,
R474,Outside Delhi-NCR,19,4,Average,Laptop/Desktop,0,0,8,6,6,1,3,Increased,0,Online gaming,0,1,School/college,,,
R475,Delhi-NCR,19,0,Good,Laptop/Desktop,3,1,8,3,6,1,3,Increased,0,Social Media,0,0,School/college,,,
R476,Delhi-NCR,7,2,Good,Smartphone,2,1,9,1,7,2,3,Increased,0,Online gaming,0,1,Travelling,,,
R477,Outside Delhi-NCR,21,2,Average,Laptop/Desktop,0,1,7,3,6,0,2,Remain Constant,0,Online gaming,1,1,School/college,,,
R478,Delhi-NCR,23,4,Very poor,Laptop/Desktop,10,1,7,1,7,0,2,Decreased,0,Listening to music,1,1,Travelling,,,
R479,Delhi-NCR,20,5,Very poor,Laptop/Desktop,2,0,13,4,6,0,2,Increased,0,Scrolling through social media,0,0,School/college,,,
R480,Delhi-NCR,20,4,Very poor,Smartphone,4,0,8,4,6,3,3,Remain Constant,0,Online gaming,1,1,Eating outside,,,
R481,Outside Delhi-NCR,19,4,Very poor,Laptop/Desktop,3,1,8,3,7,2,3,Increased,0,Meditation,1,1,School/college,,,
R482,Delhi-NCR,20,4,Very poor,Laptop/Desktop,2,1,8,2,5,0,3,Increased,0,Dancing,1,1,"Friends , relatives",,,
R483,Outside Delhi-NCR,18,4,Average,Smartphone,1,0,9,4,7,1,3,Decreased,1,Online gaming,0,1,Eating outside,,,
R484,Delhi-NCR,21,4,Very poor,Tablet,0,3,11,10,8,0,1,Decreased,0,Meditation,0,0,Travelling,,,
R485,Outside Delhi-NCR,18,6,Very poor,Laptop/Desktop,6,1,6,1,6,0.5,5,Remain Constant,1,Listening to music,1,1,School/college,,,
R486,Delhi-NCR,21,6,Excellent,Laptop/Desktop,6,1,6,1,6,0,4,Decreased,0,Driving,0,1,Roaming around freely,,,
R487,Outside Delhi-NCR,19,2,Very poor,Laptop/Desktop,3,0,7,3,7,2,2,Increased,0,Online surfing,0,0,School/college,,,
R488,Outside Delhi-NCR,19,0,Average,Laptop/Desktop,1,0.5,8,1,6,0,3,Increased,0,Scrolling through social media,0,1,0thing,,,
R489,Outside Delhi-NCR,22,2,Average,Laptop/Desktop,2,0,8,1,6,1,3,Remain Constant,1,Reading books,0,0,School/college,,,
R490,Delhi-NCR,21,3,Average,Laptop/Desktop,7,3,6,1,7,0,3,Remain Constant,0,Meditation,1,0,School/college,,,
R491,Delhi-NCR,24,2,Poor,Smartphone,6,0,6,3,7,0.5,4,Decreased,0,Listening to music,0,0,School/college,,,
R492,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,4,0,8,2,7,0,1,Remain Constant,0,Reading books,0,0,School/college,,,
R493,Outside Delhi-NCR,20,2,Average,Smartphone,2,0,12,4,6,0,3,Remain Constant,0,Talking to your relatives,0,1,"Friends , relatives",,,
R494,Outside Delhi-NCR,24,5,Average,Laptop/Desktop,2,0,6,3,6,0,4,Increased,0,Watching web series,0,1,Eating outside,,,
R495,Delhi-NCR,21,5,Average,Laptop/Desktop,6,0,7,2,1,0.5,3,Increased,0,Online surfing,1,1,School/college,,,
R496,Delhi-NCR,20,3,Very poor,Laptop/Desktop,6,2,5,3,5,0,3,Remain Constant,0,I run,1,1,Travelling,,,
R497,Outside Delhi-NCR,22,5,Very poor,Smartphone,0,1,8,4,3,0,3,Remain Constant,0,Online surfing,0,1,Eating outside,,,
R498,Outside Delhi-NCR,20,7,Very poor,Laptop/Desktop,0,1,6,2,3,1,4,Remain Constant,0,Online gaming,0,1,Roaming around freely,,,
R499,Outside Delhi-NCR,20,0.5,Very poor,Smartphone,3,1,10,3,6,2,2,Increased,1,Scrolling through social media,0,0,"Friends , relatives",,,
R500,Delhi-NCR,19,0,NA,NA,8,1,8,0,0,0,2,Remain Constant,0,Online surfing,0,0,"Friends , relatives",,,
R501,Outside Delhi-NCR,22,0.5,Very poor,Laptop/Desktop,1,1,8,3,6,0,4,Increased,0,Online gaming,0,0,Roaming around freely,,,
R502,Outside Delhi-NCR,21,4,Average,Laptop/Desktop,1,0,10,2,7,0,3,Increased,0,Online gaming,0,1,School/college,,,
R503,Outside Delhi-NCR,19,3,Very poor,Laptop/Desktop,2,1,6,2,6,0,3,Increased,0,Online gaming,0,1,School/college,,,
R504,Outside Delhi-NCR,13,3,Average,Smartphone,2,1,7,2,7,0,3,Decreased,0,Dancing,1,1,"Friends , relatives",,,
R505,Delhi-NCR,10,4,Average,Smartphone,2,1,8,1,7,2,3,Remain Constant,0,Dancing,1,1,School/college,,,
R506,Outside Delhi-NCR,21,4,Very poor,Laptop/Desktop,2,0,6,1,5,0,3,Increased,0,Online surfing,0,1,Travelling,,,
R507,Outside Delhi-NCR,20,2,Very poor,Laptop/Desktop,3,0,11,1,7,1,3,Remain Constant,0,Sleeping,0,0,School/college,,,
R508,Delhi-NCR,22,1,Very poor,Smartphone,2,1,6,2,6,0,3,Increased,0,Online surfing,1,1,School/college,,,
R509,Delhi-NCR,20,4,Average,Laptop/Desktop,0,0,12,2,6,2,3,Increased,0,Scrolling through social media,0,0,Roaming around freely,,,
R510,Outside Delhi-NCR,20,0,Poor,Laptop/Desktop,2,0,10,4,6,0,3,Increased,0,Online gaming,0,0,"Friends , relatives",,,
R511,Delhi-NCR,20,0,Average,Laptop/Desktop,1,1,8,4,7,0,3,Increased,0,Sleeping,0,1,School/college,,,
R512,Outside Delhi-NCR,21,0,Average,Smartphone,4,1,7,2,3,4,4,Increased,0,Online gaming,1,1,"Friends , relatives",,,
R513,Delhi-NCR,19,4,Very poor,Laptop/Desktop,3,2,8,2,6,1,4,Remain Constant,0,Online gaming,1,1,"Friends , relatives",,,
R514,Outside Delhi-NCR,13,2,Excellent,Smartphone,2,1,6,6,6,8,4,Increased,0,Online gaming,1,1,"Friends , relatives",,,
R515,Outside Delhi-NCR,20,2,Average,Laptop/Desktop,3,0,7,5,6,6,2,Increased,0,Online gaming,0,0,Eating outside,,,
R516,Outside Delhi-NCR,17,2,Average,Smartphone,5,3,5,1,7,0.5,3,Decreased,0,Running,0,1,School/college,,,
R517,Outside Delhi-NCR,11,1,Good,Laptop/Desktop,1,1,15,3,5,1,4,Increased,0,Listening to music,1,1,School/college,,,
R518,Delhi-NCR,17,2,Excellent,Smartphone,3,1,8,3,7,1,2,Increased,0,Listening to music,1,1,School/college,,,
R519,Outside Delhi-NCR,17,1,Average,Smartphone,2,0,8,1,5,1,2,Decreased,0,Talking to your relatives,0,1,School/college,,,
R520,Delhi-NCR,19,4,Very poor,Laptop/Desktop,5,0,8,3,2,2,3,Increased,0,Watching web series,0,1,School/college,,,
R521,Outside Delhi-NCR,20,6,Good,Laptop/Desktop,5,2,6,10,2,15,3,Remain Constant,0,Talking,1,1,School/college,,,
R522,Delhi-NCR,18,3,Good,Laptop/Desktop,4,2,7,2,5,2,3,Increased,0,Dancing,1,1,Travelling,,,
R523,Delhi-NCR,20,4,Average,Laptop/Desktop,3,0,8,4,5,2,4,Increased,0,Listening to music,0,1,Eating outside,,,
R524,Delhi-NCR,19,0,Very poor,Laptop/Desktop,1,0,9,6,2,0,4,Increased,0,Sleeping,0,0,Travelling,,,
R525,Delhi-NCR,17,3,Average,Smartphone,3,3,9,2,5,0,3,Increased,0,Online gaming,0,0,"Friends , relatives",,,
R526,Outside Delhi-NCR,19,0,Very poor,Smartphone,0,1,10,7,5,1,3,Increased,1,Online gaming,0,1,School/college,,,
R527,Outside Delhi-NCR,21,1,Average,Laptop/Desktop,8,2,8,2,7,1,3,Remain Constant,1,Online gaming,0,0,Roaming around freely,,,
R528,Outside Delhi-NCR,34,2,Average,Laptop/Desktop,1,0,7,6,7,6,3,Remain Constant,0,Listening to music,1,1,Travelling,,,
R529,Outside Delhi-NCR,15,4,Very poor,Smartphone,4,0,7,1,5,2,3,Increased,0,Listening to music,0,0,"Friends , relatives",,,
R530,Outside Delhi-NCR,19,2,Very poor,Laptop/Desktop,0,1,12,2,6,1,3,Decreased,1,Listening to music,0,0,Travelling,,,
R531,Delhi-NCR,24,0,NA,NA,1,0,10,6,6,3,4,Increased,0,Listening to music,0,0,School/college,,,
R532,Outside Delhi-NCR,17,6,Average,Smartphone,4,0,7,9,5,0.5,2,Increased,0,Scrolling through social media,0,1,"Friends , relatives",,,
R533,Delhi-NCR,26,2,Very poor,Laptop/Desktop,1,1,8,4,3,0,3,Decreased,0,Scrolling through social media,0,1,Travelling,,,
R534,Delhi-NCR,20,0,Very poor,Laptop/Desktop,1,1,7,0.5,6,0.5,3,Increased,0,Reading books,1,1,School/college,,,
R535,Outside Delhi-NCR,22,3,Average,Laptop/Desktop,6,2,8,4,6,1,4,Remain Constant,0,Cooking,1,1,"Friends , relatives",,,
R536,Outside Delhi-NCR,20,6,Poor,Laptop/Desktop,2,2,8,1,6,0,3,Decreased,0,Listening to music,1,0,Roaming around freely,,,
R537,Outside Delhi-NCR,21,4,Very poor,Laptop/Desktop,2,2,8,4,5,4,3,Decreased,0,Watching web series,1,1,"Friends , relatives",,,
R538,Outside Delhi-NCR,14,3,Good,Smartphone or Laptop/Desktop,2,0,6,1,7,1,1,Increased,0,Listening to music,1,1,School/college,,,
R539,Outside Delhi-NCR,20,5,Very poor,Laptop/Desktop,6,1,7,2,5,0,3,Remain Constant,0,Watching web series,0,1,Eating outside,,,
R540,Delhi-NCR,19,2,Excellent,Smartphone,2,1,10,2,5,1,2,Remain Constant,0,Sleeping,1,1,School/college,,,
R541,Delhi-NCR,44,3,Average,Smartphone,4,0,6,1,3,1,2,Remain Constant,0,Reading books,1,1,Roaming around freely,,,
R542,Outside Delhi-NCR,20,1,Very poor,Tablet,2,3,8,2,7,2,2,Decreased,0,Reading books,1,1,"Friends , relatives",,,
R543,Delhi-NCR,22,3,Average,Laptop/Desktop,6,1,6,3,7,2,3,Remain Constant,0,Sleeping,0,1,The idea of being around fun loving people but this time has certainly made us all to reconnect (and fill the gap if any) with our families and relatives so it is fun but certainly we do miss hanging out with friends,,,
R544,Outside Delhi-NCR,21,1,Poor,Smartphone,4,1,8,4,5,0,3,Remain Constant,0,Online surfing,1,1,School/college,,,
R545,Delhi-NCR,20,5,Very poor,Laptop/Desktop,2,0,8,1,1,2,3,Remain Constant,0,Online surfing,1,1,"Friends , relatives",,,
R546,Delhi-NCR,18,4,Very poor,Tablet,4,0,9,2,6,2,3,Remain Constant,0,Watching web series,0,1,Travelling,,,
R547,Outside Delhi-NCR,15,1,Good,Smartphone,2,1,8,1,7,2,2,Increased,0,Meditation,0,1,School/college,,,
R548,Outside Delhi-NCR,19,2,Average,Smartphone,0,0,8,10,6,1,2,Decreased,0,Online gaming,0,1,"Friends , relatives",,,
R549,Outside Delhi-NCR,24,2,Average,Smartphone,2,0,6,3,7,0,2,Decreased,0,Sleeping,0,0,School/college,,,
R550,Delhi-NCR,16,7,Average,Smartphone,4,1,6,1,7,0,4,Remain Constant,0,Listening to music,1,1,Eating outside,,,
R551,Outside Delhi-NCR,21,0,Poor,Smartphone,8,0,7,2,7,0.5,3,Remain Constant,1,Online surfing,1,0,School/college,,,
R552,Outside Delhi-NCR,17,4,Good,Smartphone,3,3,6,5,6,0,4,Decreased,0,Exercise,1,1,All,,,
R553,Delhi-NCR,15,5,Good,Smartphone,2,1,7,0,5,0,2,Increased,0,Online gaming,0,1,Colleagues,,,
R554,Outside Delhi-NCR,16,2,Very poor,Smartphone,1,0,9,1,7,0,3,Decreased,0,Reading books,0,1,School/college,,,
R555,Delhi-NCR,21,6,Average,Laptop/Desktop,2,1,7,1.5,5,1.5,3,Remain Constant,0,Watching web series,0,1,My 0rmal routine,,,
R556,Delhi-NCR,13,2,Excellent,Smartphone,2,1,9,2,3,1,3,Increased,0,Scrolling through social media,1,0,School/college,,,
R557,Delhi-NCR,22,3,Very poor,Smartphone,2,1,9,1,7,1,4,Remain Constant,1,Scrolling through social media,0,1,"Friends , relatives",,,
R558,Outside Delhi-NCR,15,4,Average,Laptop/Desktop,4,1,11,1,6,2,5,Remain Constant,0,Listening to music,1,1,"Friends , relatives",,,
R559,Outside Delhi-NCR,26,0.5,Very poor,Smartphone,1,0,6,1,7,1,3,Decreased,1,Sleeping,0,0,School/college,,,
R560,Delhi-NCR,21,0,Very poor,Laptop/Desktop,2,0,10,6,5,0,2,Remain Constant,0,Online gaming,0,1,"Friends , relatives",,,
R561,Outside Delhi-NCR,13,1,Good,Smartphone,1,1,8,1,5,2,3,Remain Constant,0,Listening to music,0,1,School/college,,,
R562,Delhi-NCR,21,3,Average,Laptop/Desktop,0,2,8,2,6,2,3,Increased,0,Online gaming,0,0,"Friends , relatives",,,
R563,Outside Delhi-NCR,21,3,Very poor,Smartphone,1,1,8,2,6,0,3,Increased,0,Watching web series,1,1,Travelling,,,
R564,Delhi-NCR,17,2,Average,Smartphone,1,1,8,7,6,0,4,Increased,0,Watching web series,0,1,Roaming around freely,,,
R565,Delhi-NCR,20,1,Good,Smartphone,3,1,8,3,5,1,4,Remain Constant,0,Reading,0,1,School/college,,,
R566,Delhi-NCR,18,3,Good,Smartphone,2,0,8,1,5,1,3,Decreased,0,Listening to music,1,0,School/college,,,
R567,Delhi-NCR,19,2,Very poor,Laptop/Desktop,8,0,8,1,5,0,4,Decreased,1,Sleeping,0,0,Eating outside,,,
R568,Delhi-NCR,21,4,Average,Laptop/Desktop,4,1,8,3,6,1,3,Increased,0,Listening to music,0,0,School/college,,,
R569,Delhi-NCR,20,8,Excellent,Smartphone,8,1,7,2,5,1,4,Increased,0,Watching web series,1,1,Roaming around freely,,,
R570,Delhi-NCR,21,8,Good,Laptop/Desktop,2,1,7,1,7,0,3,Remain Constant,0,Talking,1,1,Eating outside,,,
R571,Outside Delhi-NCR,32,2,Good,Smartphone,0,0,11,1,7,3,4,Remain Constant,0,Meditation,0,0,Eating outside,,,
R572,Delhi-NCR,19,4,Good,Laptop/Desktop,4,2,8,6,6,6,3,Increased,0,Meditation,0,1,Travelling,,,
R573,Delhi-NCR,18,2,Very poor,Smartphone,0,3,8,1,2,0,3,Increased,0,Exercising,0,1,ALL,,,
R574,Delhi-NCR,23,0,NA,NA,1,0,9,3,6,2,2,Remain Constant,0,Scrolling through social media,0,1,Roaming around freely,,,
R575,Delhi-NCR,18,0,Very poor,Smartphone,0,0,7,3,6,2,4,Remain Constant,1,Scrolling through social media,0,1,"Friends , relatives",,,
R576,Delhi-NCR,19,2,Very poor,Laptop/Desktop,1,2,8,3,6,2,4,Increased,0,Sleeping,1,0,School/college,,,
R577,Delhi-NCR,19,2,Very poor,Smartphone,2,0,8,1.5,6,1,2,Decreased,0,Watching web series,0,1,Roaming around freely,,,
R578,Outside Delhi-NCR,19,3,Excellent,Laptop/Desktop,0,0,9,6,7,0,2,Remain Constant,1,Meditation,1,1,0thing,,,
R579,Delhi-NCR,23,4,Very poor,Smartphone,4,1,8,2,5,2,2,Increased,0,Cooking,0,1,Eating outside,,,
R580,Delhi-NCR,25,0,NA,NA,2,1,9,2,7,1,2,Increased,0,Listening to music,0,0,Roaming around freely,,,
R581,Delhi-NCR,22,4,Very poor,Laptop/Desktop,1,0,9,1,5,1,4,Remain Constant,0,Listening to music,1,1,Eating outside,,,
R582,Delhi-NCR,12,6,Good,Tablet,4,0,7,1,5,2,4,Increased,0,Online gaming,0,1,School/college,,,
R583,Delhi-NCR,8,2,Excellent,Laptop/Desktop,1,1,5,1,5,1,2,Remain Constant,0,Sleeping,1,1,School/college,,,
R584,Delhi-NCR,17,0.75,Excellent,Smartphone,4,1,7,1,7,0.3,2,Decreased,0,Sleeping,1,1,School/college,,,
R585,Delhi-NCR,21,3,Excellent,Laptop/Desktop,1,0,11,3,2,2,1,Remain Constant,0,Reading books,1,0,Eating outside,,,
R586,Delhi-NCR,14,3,Average,Smartphone,2,2,7,2,7,2,3,Remain Constant,0,Online gaming,1,0,School/college,,,
R587,Outside Delhi-NCR,20,4,Very poor,Smartphone,3,0,8,1,3,0,1,Increased,0,Scrolling through social media,0,1,0THING,,,
R588,Delhi-NCR,22,0,Very poor,Smartphone,2,1,6,0.5,5,0,1,Decreased,0,Talking to your relatives,1,1,Roaming around freely,,,
R589,Delhi-NCR,13,6,Average,Tablet,3,1,10,1,8,6,3,Remain Constant,0,Talking to your relatives,1,1,ALL,,,
R590,Delhi-NCR,21,2,Very poor,Smartphone,0.5,1,8,1,5,0,4,Increased,0,Listening to music,1,1,Travelling,,,
R591,Delhi-NCR,36,3,Excellent,Laptop/Desktop,2,0,8,2,3,0,3,Remain Constant,0,Reading books,0,1,Eating outside,,,
R592,Delhi-NCR,13,4,Good,Any Gadget,3,1,9,3,6,2,2,Decreased,0,Cooking,1,1,Colleagues,,,
